Year,Density
1962, 95.95959595959596
1963, 95.01683501683502
1964, 105.65656565656565
1965, 93.93939393939394
1966, 100.13468013468014
1967, 106.73400673400673
1968, 118.72053872053871
1969, 109.69696969696969
1970, 106.86868686868686
1971, 95.15151515151516
1972, 98.24915824915826
1973, 87.07070707070707
1974, 55.15151515151515
1975, 67.94612794612794
1976, 72.25589225589226
1977, 81.01010101010101
1978, 91.11111111111111
1979, 79.25925925925927
1980, 82.49158249158249
1981, 68.21548821548822
1982, 58.24915824915825
1983, 56.36363636363637
1984, 49.360269360269356
1985, 51.245791245791246